11,1902,venta1,100
12,1903,venta3,101
13,1904,venta2,102
14,1905,venta4,103
15,1906,venta5,104
16,1907,venta6,105
17,1908,venta7,106
18,1909,venta8,107
19,1910,venta9,108
20,1911,venta10,109
21,1912,venta11,110
22,1913,venta12,111
23,1914,venta13,112
24,1915,venta14,113
25,1916,venta15,114
26,1917,venta16,115
27,1918,venta17,116
28,1919,venta18,117
29,1920,venta19,118
30,1921,venta20,119
31,1922,venta21,120
32,1923,venta22,121
33,1924,venta23,122
34,1925,venta24,123
35,1926,venta25,124
36,1927,venta26,125
37,1928,venta27,126
38,1929,venta28,127
39,1930,venta29,128
40,1931,venta30,129
41,1932,venta31,130
42,1933,venta32,131
43,1934,venta33,132
44,1935,venta34,133
45,1936,venta35,134
46,1937,venta36,135
47,1938,venta37,136
48,1939,venta38,137
49,1940,venta39,138
50,1941,venta40,139
51,1942,venta41,140
52,1943,venta42,141
53,1944,venta43,142
54,1945,venta44,143
55,1946,venta45,144
56,1947,venta46,145
57,1948,venta47,146
58,1949,venta48,147
59,1950,venta49,148
60,1951,venta50,149
61,1952,venta51,150
62,1953,venta52,151
63,1954,venta53,152
64,1955,venta54,153
65,1956,venta55,154
66,1957,venta56,155
67,1958,venta57,156
68,1959,venta58,157
69,1960,venta59,158
70,1961,venta60,159
